Record Date,Country,Currency,Country - Currency Description,Exchange Rate,,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number,ISO_4217
2023-12-31,New Zealand,Dollar,New Zealand-Dollar,1.585,0.630914826,2023-12-31,109,2024,1,2023,4,12,31,NZD
2023-12-31,Nicaragua,Cordoba,Nicaragua-Cordoba,36.6,0.027322404,2023-12-31,110,2024,1,2023,4,12,31,NIO
2023-12-31,Niger,CFA Franc,Niger-CFA Franc,589,0.001697793,2023-12-31,111,2024,1,2023,4,12,31,XOF
2023-12-31,Nigeria,Naira,Nigeria-Naira,910,0.001098901,2023-12-31,112,2024,1,2023,4,12,31,NGN
2023-12-31,Norway,Krone,Norway-Krone,10.166,0.098367106,2023-12-31,114,2024,1,2023,4,12,31,NOK
2023-12-31,Oman,Rial,Oman-Rial,0.385,2.597402597,2023-12-31,115,2024,1,2023,4,12,31,OMR
2023-12-31,Pakistan,Rupee,Pakistan-Rupee,276.2,0.003620565,2023-12-31,116,2024,1,2023,4,12,31,PKR
2023-12-31,Papua New Guinea,Kina,Papua New Guinea-Kina,3.727,0.268312316,2023-12-31,119,2024,1,2023,4,12,31,PGK
2023-12-31,Paraguay,Guarani,Paraguay-Guarani,7249.99,0.000137931,2023-12-31,120,2024,1,2023,4,12,31,PYG
2023-12-31,Peru,Sol,Peru-Sol,3.675,0.272108844,2023-12-31,121,2024,1,2023,4,12,31,PEN
2023-12-31,Philippines,Peso,Philippines-Peso,55.451,0.01803394,2023-12-31,122,2024,1,2023,4,12,31,PHP
2023-12-31,Poland,Zloty,Poland-Zloty,3.924,0.254841998,2023-12-31,123,2024,1,2023,4,12,31,PLN
2023-12-31,Qatar,Riyal,Qatar-Riyal,3.645,0.274348422,2023-12-31,124,2024,1,2023,4,12,31,QAR
2023-12-31,Rep. of N. Macedonia,Denar,Rep. of N. Macedonia-Denar,55.45,0.018034265,2023-12-31,125,2024,1,2023,4,12,31,MKD
2023-12-31,Romania,New Leu,Romania-New Leu,4.499,0.222271616,2023-12-31,126,2024,1,2023,4,12,31,RON
2023-12-31,Russia,Ruble,Russia-Ruble,89.067,0.011227503,2023-12-31,127,2024,1,2023,4,12,31,RUB
2023-12-31,Rwanda,Franc,Rwanda-Franc,1250,0.0008,2023-12-31,128,2024,1,2023,4,12,31,RWF
